Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
County,Sonoma County,01-01-1992,1992,January,N,Final,213000,197600,15500,0.073
County,Stanislaus County,01-01-1992,1992,January,N,Final,186100,153700,32400,0.174
County,Sutter County,01-01-1992,1992,January,N,Final,33100,25800,7300,0.22
County,Tehama County,01-01-1992,1992,January,N,Final,22610,19630,2980,0.132
County,Trinity County,01-01-1992,1992,January,N,Final,5100,3800,1300,0.254
County,Tulare County,01-01-1992,1992,January,N,Final,148600,119800,28800,0.194
County,Tuolumne County,01-01-1992,1992,January,N,Final,20490,18040,2450,0.119
County,Ventura County,01-01-1992,1992,January,N,Final,368600,335300,33400,0.091
County,Yolo County,01-01-1992,1992,January,N,Final,79800,71800,8000,0.1
County,Yuba County,01-01-1992,1992,January,N,Final,21400,17400,4000,0.187
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,01-01-1992,1992,January,N,Final,1315800,1235900,79900,0.061
Metropolitan Area,Bakersfield MSA,01-01-1992,1992,January,N,Final,266300,225100,41100,0.154
Metropolitan Area,Chico MSA,01-01-1992,1992,January,N,Final,79600,69600,9900,0.125
Metropolitan Area,El Centro MSA,01-01-1992,1992,January,N,Final,49300,37600,11700,0.238
Metropolitan Area,Fresno MSA,01-01-1992,1992,January,N,Final,337400,280000,57400,0.17
Metropolitan Area,Hanford-Corcoran MSA,01-01-1992,1992,January,N,Final,39000,32000,6900,0.178
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1992,1992,January,N,Final,4441000,4024300,416700,0.094
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1992,1992,January,Y,Final,4460700,4060900,399800,0.09
Metropolitan Area,Madera MSA,01-01-1992,1992,January,N,Final,44100,36700,7400,0.168
Metropolitan Area,Merced MSA,01-01-1992,1992,January,N,Final,80800,65000,15800,0.196
Metropolitan Area,Modesto MSA,01-01-1992,1992,January,N,Final,186100,153700,32400,0.174
Metropolitan Area,Napa MSA,01-01-1992,1992,January,N,Final,55800,51800,4100,0.073
Metropolitan Area,Oakland-Hayward-Berkeley MD,01-01-1992,1992,January,N,Final,1111800,1040600,71200,0.064
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,01-01-1992,1992,January,N,Final,368600,335300,33400,0.091
Metropolitan Area,Redding MSA,01-01-1992,1992,January,N,Final,70900,60600,10300,0.145
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,01-01-1992,1992,January,N,Final,1236600,1114200,122300,0.099
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,01-01-1992,1992,January,N,Final,762300,695300,67100,0.088
Metropolitan Area,Salinas MSA,01-01-1992,1992,January,N,Final,173400,142000,31400,0.181
Metropolitan Area,San Diego-Carlsbad MSA,01-01-1992,1992,January,N,Final,1204900,1121700,83200,0.069
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,01-01-1992,1992,January,N,Final,770200,726400,43700,0.057
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,01-01-1992,1992,January,N,Final,859800,798700,61100,0.071
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,01-01-1992,1992,January,N,Final,98100,90500,7500,0.077
Metropolitan Area,San Rafael MD,01-01-1992,1992,January,N,Final,130000,123900,6100,0.047
Metropolitan Area,Santa Cruz-Watsonville MSA,01-01-1992,1992,January,N,Final,133400,116500,16800,0.126
Metropolitan Area,Santa Maria-Santa Barbara MSA,01-01-1992,1992,January,N,Final,192800,177600,15200,0.079
Metropolitan Area,Santa Rosa MSA,01-01-1992,1992,January,N,Final,213000,197600,15500,0.073
Metropolitan Area,Stockton-Lodi MSA,01-01-1992,1992,January,N,Final,232000,196000,36000,0.155
Metropolitan Area,Vallejo-Fairfield MSA,01-01-1992,1992,January,N,Final,168000,155500,12500,0.074
Metropolitan Area,Visalia-Porterville MSA,01-01-1992,1992,January,N,Final,148600,119800,28800,0.194
Metropolitan Area,Yuba City MSA,01-01-1992,1992,January,N,Final,54400,43200,11300,0.207
State,California,01-01-1993,1993,January,N,Final,15209500,13633900,1575700,0.104
State,California,01-01-1993,1993,January,Y,Final,15290000,13794700,1495200,0.098
County,Alameda County,01-01-1993,1993,January,N,Final,678600,632300,46300,0.068
County,Alpine County,01-01-1993,1993,January,N,Final,590,560,30,0.058
County,Amador County,01-01-1993,1993,January,N,Final,12820,11390,1430,0.112
County,Butte County,01-01-1993,1993,January,N,Final,80700,69200,11500,0.142
County,Calaveras County,01-01-1993,1993,January,N,Final,14970,12740,2230,0.149
County,Colusa County,01-01-1993,1993,January,N,Final,8160,5340,2820,0.345
County,Contra Costa County,01-01-1993,1993,January,N,Final,444100,412800,31300,0.071
County,Del Norte County,01-01-1993,1993,January,N,Final,9890,8170,1720,0.174
County,El Dorado County,01-01-1993,1993,January,N,Final,68200,61100,7100,0.104
County,Fresno County,01-01-1993,1993,January,N,Final,349500,286200,63300,0.181
County,Glenn County,01-01-1993,1993,January,N,Final,11280,8890,2390,0.212
County,Humboldt County,01-01-1993,1993,January,N,Final,59000,52000,7000,0.119
County,Imperial County,01-01-1993,1993,January,N,Final,54600,39100,15500,0.284
County,Inyo County,01-01-1993,1993,January,N,Final,7250,6340,900,0.125
County,Kern County,01-01-1993,1993,January,N,Final,267000,219500,47500,0.178
County,Kings County,01-01-1993,1993,January,N,Final,40400,32300,8100,0.2
County,Lake County,01-01-1993,1993,January,N,Final,22220,18790,3440,0.155
County,Lassen County,01-01-1993,1993,January,N,Final,11120,9300,1820,0.164
County,Los Angeles County,01-01-1993,1993,January,N,Final,4365400,3899500,465900,0.107
County,Los Angeles County,01-01-1993,1993,January,Y,Final,4401000,3946400,454600,0.103
County,Madera County,01-01-1993,1993,January,N,Final,46000,37500,8400,0.184
County,Marin County,01-01-1993,1993,January,N,Final,131000,123700,7300,0.056
County,Mariposa County,01-01-1993,1993,January,N,Final,6730,5780,940,0.14
County,Mendocino County,01-01-1993,1993,January,N,Final,39000,33110,5890,0.151
County,Merced County,01-01-1993,1993,January,N,Final,80700,63400,17200,0.214
County,Modoc County,01-01-1993,1993,January,N,Final,3880,3160,710,0.184
County,Mono County,01-01-1993,1993,January,N,Final,6640,6230,410,0.061
County,Monterey County,01-01-1993,1993,January,N,Final,175900,140600,35300,0.2
County,Napa County,01-01-1993,1993,January,N,Final,57600,52500,5100,0.089
County,Nevada County,01-01-1993,1993,January,N,Final,39830,35790,4040,0.101
County,Orange County,01-01-1993,1993,January,N,Final,1318300,1223900,94400,0.072
County,Placer County,01-01-1993,1993,January,N,Final,93700,85000,8700,0.093
County,Plumas County,01-01-1993,1993,January,N,Final,9120,7110,2010,0.221
County,Riverside County,01-01-1993,1993,January,N,Final,579700,509000,70800,0.122
County,Sacramento County,01-01-1993,1993,January,N,Final,529100,481800,47300,0.089
County,San Benito County,01-01-1993,1993,January,N,Final,21100,16400,4700,0.222
County,San Bernardino County,01-01-1993,1993,January,N,Final,676000,605800,70300,0.104
County,San Diego County,01-01-1993,1993,January,N,Final,1218200,1121600,96700,0.079
County,San Francisco County,01-01-1993,1993,January,N,Final,404800,376500,28300,0.07
County,San Joaquin County,01-01-1993,1993,January,N,Final,236900,198100,38800,0.164
County,San Luis Obispo County,01-01-1993,1993,January,N,Final,96500,87100,9400,0.098
County,San Mateo County,01-01-1993,1993,January,N,Final,368300,348700,19500,0.053
County,Santa Barbara County,01-01-1993,1993,January,N,Final,192000,174300,17700,0.092
County,Santa Clara County,01-01-1993,1993,January,N,Final,848300,787200,61100,0.072
County,Santa Cruz County,01-01-1993,1993,January,N,Final,136000,116200,19700,0.145
County,Shasta County,01-01-1993,1993,January,N,Final,73700,62000,11700,0.158
County,Sierra County,01-01-1993,1993,January,N,Final,1690,1420,260,0.156
County,Siskiyou County,01-01-1993,1993,January,N,Final,19240,15250,3990,0.207
County,Solano County,01-01-1993,1993,January,N,Final,173100,157700,15500,0.089
County,Sonoma County,01-01-1993,1993,January,N,Final,218900,201600,17300,0.079
County,Stanislaus County,01-01-1993,1993,January,N,Final,188300,153600,34700,0.184
County,Sutter County,01-01-1993,1993,January,N,Final,32500,25300,7200,0.221
County,Tehama County,01-01-1993,1993,January,N,Final,23260,19690,3570,0.153
County,Trinity County,01-01-1993,1993,January,N,Final,5190,4010,1190,0.229
County,Tulare County,01-01-1993,1993,January,N,Final,154800,123700,31100,0.201
County,Tuolumne County,01-01-1993,1993,January,N,Final,20560,17420,3130,0.152
County,Ventura County,01-01-1993,1993,January,N,Final,374000,336400,37600,0.101
County,Yolo County,01-01-1993,1993,January,N,Final,81400,72800,8500,0.105
County,Yuba County,01-01-1993,1993,January,N,Final,21800,17100,4700,0.216
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,01-01-1993,1993,January,N,Final,1318300,1223900,94400,0.072
Metropolitan Area,Bakersfield MSA,01-01-1993,1993,January,N,Final,267000,219500,47500,0.178
Metropolitan Area,Chico MSA,01-01-1993,1993,January,N,Final,80700,69200,11500,0.142
Metropolitan Area,El Centro MSA,01-01-1993,1993,January,N,Final,54600,39100,15500,0.284
Metropolitan Area,Fresno MSA,01-01-1993,1993,January,N,Final,349500,286200,63300,0.181
Metropolitan Area,Hanford-Corcoran MSA,01-01-1993,1993,January,N,Final,40400,32300,8100,0.2
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1993,1993,January,N,Final,4365400,3899500,465900,0.107
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1993,1993,January,Y,Final,4401000,3946400,454600,0.103
Metropolitan Area,Madera MSA,01-01-1993,1993,January,N,Final,46000,37500,8400,0.184
Metropolitan Area,Merced MSA,01-01-1993,1993,January,N,Final,80700,63400,17200,0.214
Metropolitan Area,Modesto MSA,01-01-1993,1993,January,N,Final,188300,153600,34700,0.184
Metropolitan Area,Napa MSA,01-01-1993,1993,January,N,Final,57600,52500,5100,0.089
Metropolitan Area,Oakland-Hayward-Berkeley MD,01-01-1993,1993,January,N,Final,1122800,1045200,77600,0.069
Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,01-01-1993,1993,January,N,Final,374000,336400,37600,0.101
Metropolitan Area,Redding MSA,01-01-1993,1993,January,N,Final,73700,62000,11700,0.158
Metropolitan Area,Riverside-San Bernardino-Ontario MSA,01-01-1993,1993,January,N,Final,1255800,1114700,141100,0.112
Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,01-01-1993,1993,January,N,Final,772400,700700,71700,0.093
Metropolitan Area,Salinas MSA,01-01-1993,1993,January,N,Final,175900,140600,35300,0.2
Metropolitan Area,San Diego-Carlsbad MSA,01-01-1993,1993,January,N,Final,1218200,1121600,96700,0.079
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,01-01-1993,1993,January,N,Final,773100,725200,47900,0.062
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,01-01-1993,1993,January,N,Final,869400,803600,65700,0.076
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,01-01-1993,1993,January,N,Final,96500,87100,9400,0.098
Metropolitan Area,San Rafael MD,01-01-1993,1993,January,N,Final,131000,123700,7300,0.056
Metropolitan Area,Santa Cruz-Watsonville MSA,01-01-1993,1993,January,N,Final,136000,116200,19700,0.145
Metropolitan Area,Santa Maria-Santa Barbara MSA,01-01-1993,1993,January,N,Final,192000,174300,17700,0.092
Metropolitan Area,Santa Rosa MSA,01-01-1993,1993,January,N,Final,218900,201600,17300,0.079
Metropolitan Area,Stockton-Lodi MSA,01-01-1993,1993,January,N,Final,236900,198100,38800,0.164
Metropolitan Area,Vallejo-Fairfield MSA,01-01-1993,1993,January,N,Final,173100,157700,15500,0.089
Metropolitan Area,Visalia-Porterville MSA,01-01-1993,1993,January,N,Final,154800,123700,31100,0.201
Metropolitan Area,Yuba City MSA,01-01-1993,1993,January,N,Final,54300,42400,11900,0.219
State,California,01-01-1994,1994,January,N,Final,15244600,13717600,1527000,0.1
State,California,01-01-1994,1994,January,Y,Final,15280500,13863700,1416800,0.093
County,Alameda County,01-01-1994,1994,January,N,Final,681000,634100,46900,0.069
County,Alpine County,01-01-1994,1994,January,N,Final,710,660,40,0.059
County,Amador County,01-01-1994,1994,January,N,Final,12530,11190,1330,0.106
County,Butte County,01-01-1994,1994,January,N,Final,79800,69400,10500,0.131
County,Calaveras County,01-01-1994,1994,January,N,Final,14770,12810,1960,0.133
County,Colusa County,01-01-1994,1994,January,N,Final,8040,5480,2560,0.318
County,Contra Costa County,01-01-1994,1994,January,N,Final,451700,421100,30500,0.068
County,Del Norte County,01-01-1994,1994,January,N,Final,10110,8770,1340,0.133
County,El Dorado County,01-01-1994,1994,January,N,Final,70800,64600,6200,0.088
County,Fresno County,01-01-1994,1994,January,N,Final,359900,298500,61400,0.171
County,Glenn County,01-01-1994,1994,January,N,Final,11500,9270,2230,0.194
County,Humboldt County,01-01-1994,1994,January,N,Final,59500,53000,6500,0.109
County,Imperial County,01-01-1994,1994,January,N,Final,57300,41800,15500,0.271
County,Inyo County,01-01-1994,1994,January,N,Final,7050,6120,930,0.132
County,Kern County,01-01-1994,1994,January,N,Final,267200,221600,45500,0.17
County,Kings County,01-01-1994,1994,January,N,Final,40000,32700,7300,0.182
County,Lake County,01-01-1994,1994,January,N,Final,22170,18870,3300,0.149
County,Lassen County,01-01-1994,1994,January,N,Final,11400,9570,1830,0.161
County,Los Angeles County,01-01-1994,1994,January,N,Final,4288000,3840200,447800,0.104
County,Los Angeles County,01-01-1994,1994,January,Y,Final,4299200,3873400,425900,0.099
County,Madera County,01-01-1994,1994,January,N,Final,48500,40100,8400,0.173
County,Marin County,01-01-1994,1994,January,N,Final,129500,122700,6800,0.052
County,Mariposa County,01-01-1994,1994,January,N,Final,6820,5820,1000,0.147
County,Mendocino County,01-01-1994,1994,January,N,Final,39780,34580,5200,0.131
County,Merced County,01-01-1994,1994,January,N,Final,83800,66700,17100,0.204
County,Modoc County,01-01-1994,1994,January,N,Final,4090,3420,680,0.165
County,Mono County,01-01-1994,1994,January,N,Final,6880,6330,550,0.079
County,Monterey County,01-01-1994,1994,January,N,Final,176700,141300,35400,0.2
County,Napa County,01-01-1994,1994,January,N,Final,56900,52300,4600,0.081
County,Nevada County,01-01-1994,1994,January,N,Final,41640,37980,3660,0.088
County,Orange County,01-01-1994,1994,January,N,Final,1327900,1238300,89700,0.068
County,Placer County,01-01-1994,1994,January,N,Final,98500,90800,7700,0.078
County,Plumas County,01-01-1994,1994,January,N,Final,9530,7390,2140,0.224
County,Riverside County,01-01-1994,1994,January,N,Final,598700,529400,69300,0.116
County,Sacramento County,01-01-1994,1994,January,N,Final,532600,487800,44800,0.084
County,San Benito County,01-01-1994,1994,January,N,Final,20700,16700,3900,0.19
County,San Bernardino County,01-01-1994,1994,January,N,Final,676900,607600,69300,0.102
County,San Diego County,01-01-1994,1994,January,N,Final,1228700,1132900,95800,0.078
County,San Francisco County,01-01-1994,1994,January,N,Final,403900,374300,29600,0.073
County,San Joaquin County,01-01-1994,1994,January,N,Final,238800,201200,37500,0.157
County,San Luis Obispo County,01-01-1994,1994,January,N,Final,96600,88000,8600,0.089
County,San Mateo County,01-01-1994,1994,January,N,Final,369800,350600,19200,0.052
County,Santa Barbara County,01-01-1994,1994,January,N,Final,194800,177400,17400,0.09
County,Santa Clara County,01-01-1994,1994,January,N,Final,856600,794600,62000,0.072
County,Santa Cruz County,01-01-1994,1994,January,N,Final,136400,116900,19500,0.143
County,Shasta County,01-01-1994,1994,January,N,Final,73400,62700,10700,0.145
County,Sierra County,01-01-1994,1994,January,N,Final,1700,1380,320,0.186
County,Siskiyou County,01-01-1994,1994,January,N,Final,19130,15530,3600,0.188
County,Solano County,01-01-1994,1994,January,N,Final,172100,157000,15100,0.088
County,Sonoma County,01-01-1994,1994,January,N,Final,220600,205500,15100,0.069
County,Stanislaus County,01-01-1994,1994,January,N,Final,191700,155600,36000,0.188
County,Sutter County,01-01-1994,1994,January,N,Final,34100,26800,7300,0.215
County,Tehama County,01-01-1994,1994,January,N,Final,23210,19920,3300,0.142
County,Trinity County,01-01-1994,1994,January,N,Final,5250,4120,1130,0.216
County,Tulare County,01-01-1994,1994,January,N,Final,159600,128300,31300,0.196
County,Tuolumne County,01-01-1994,1994,January,N,Final,20750,17990,2760,0.133
County,Ventura County,01-01-1994,1994,January,N,Final,378400,343800,34600,0.091
County,Yolo County,01-01-1994,1994,January,N,Final,84700,76800,8000,0.094
County,Yuba County,01-01-1994,1994,January,N,Final,21800,17500,4300,0.198
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,01-01-1994,1994,January,N,Final,1327900,1238300,89700,0.068
Metropolitan Area,Bakersfield MSA,01-01-1994,1994,January,N,Final,267200,221600,45500,0.17
Metropolitan Area,Chico MSA,01-01-1994,1994,January,N,Final,79800,69400,10500,0.131
Metropolitan Area,El Centro MSA,01-01-1994,1994,January,N,Final,57300,41800,15500,0.271
Metropolitan Area,Fresno MSA,01-01-1994,1994,January,N,Final,359900,298500,61400,0.171
Metropolitan Area,Hanford-Corcoran MSA,01-01-1994,1994,January,N,Final,40000,32700,7300,0.182
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1994,1994,January,N,Final,4288000,3840200,447800,0.104
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01-01-1994,1994,January,Y,Final,4299200,3873400,425900,0.099
